Transaction ID,Date,Customer ID,Gender,Age,Location,Product Category,Quantity,Price per Unit,Total Amount,Payment Method,Shipping Type,Subscription Status,Promo Code Used,Discount Applied,Previous Purchases,Frequency of Purchases,Churn
215,3/16/2025,CUST354,Female,52,Texas,Sports,1,173,173,Apple Pay,Free Shipping,No,No,No,19,Weekly,Yes
216,3/18/2024,CUST618,Female,24,Georgia,Home Decor,3,351,1053,Credit Card,Free Shipping,Yes,No,No,32,Monthly,No
217,5/8/2024,CUST885,Female,54,Florida,Electronics,3,986,2958,PayPal,Express,No,No,No,18,Bi-Weekly,Yes
218,11/16/2023,CUST159,Female,65,Georgia,Electronics,4,606,2424,Venmo,Express,No,No,No,30,Weekly,No
219,3/10/2024,CUST142,Male,62,Georgia,Books,2,862,1724,Credit Card,Express,No,Yes,Yes,39,Weekly,Yes
220,8/9/2023,CUST562,Male,32,Florida,Books,3,339,1017,PayPal,Free Shipping,Yes,Yes,No,17,Weekly,No
221,7/11/2023,CUST899,Male,29,New York,Home Decor,5,970,4850,Apple Pay,Free Shipping,Yes,No,No,18,Bi-Weekly,Yes
222,12/26/2023,CUST498,Female,62,New York,Beauty,4,606,2424,Venmo,Next Day Air,No,Yes,No,48,Quarterly,No
223,10/13/2023,CUST640,Male,43,North Carolina,Home Decor,5,640,3200,Debit Card,Next Day Air,No,Yes,Yes,43,Weekly,Yes
224,10/19/2023,CUST832,Male,32,Florida,Clothing,2,197,394,Google Pay,Next Day Air,Yes,No,No,13,Daily,No
225,7/30/2023,CUST590,Male,20,Ohio,Sports,4,760,3040,Debit Card,Express,No,No,No,39,Daily,Yes
226,6/19/2023,CUST303,Male,46,North Carolina,Clothing,5,797,3985,Google Pay,Next Day Air,Yes,Yes,No,38,Daily,No
227,2/12/2025,CUST497,Female,39,Florida,Electronics,2,619,1238,Credit Card,Express,No,No,No,19,Weekly,Yes
228,1/21/2025,CUST772,Female,63,Michigan,Books,2,135,270,Cash,Standard,Yes,No,No,4,Bi-Weekly,No
229,2/9/2025,CUST149,Female,40,Texas,Beauty,3,541,1623,Google Pay,Next Day Air,No,No,No,29,Daily,Yes
230,11/14/2024,CUST966,Male,32,California,Beauty,5,993,4965,Google Pay,Standard,Yes,Yes,No,49,Daily,No
231,12/22/2024,CUST724,Male,52,Florida,Home Decor,3,55,165,Google Pay,Free Shipping,Yes,No,No,39,Monthly,Yes
232,5/22/2023,CUST357,Male,36,North Carolina,Clothing,4,222,888,Google Pay,Next Day Air,Yes,Yes,No,31,Weekly,No
233,10/9/2024,CUST327,Male,26,Texas,Footwear,5,157,785,Credit Card,Next Day Air,No,Yes,No,21,Weekly,Yes
234,6/3/2023,CUST182,Female,44,Illinois,Beauty,1,393,393,PayPal,Express,Yes,No,No,4,Weekly,No
235,3/29/2024,CUST494,Male,22,Florida,Sports,1,319,319,PayPal,Standard,No,No,No,45,Weekly,Yes
236,12/25/2023,CUST475,Male,47,Michigan,Sports,5,555,2775,Venmo,Express,Yes,Yes,No,5,Bi-Weekly,No
237,5/19/2024,CUST204,Male,29,Ohio,Books,3,370,1110,Google Pay,Standard,Yes,No,No,28,Quarterly,Yes
238,9/4/2024,CUST379,Female,59,Ohio,Beauty,1,672,672,Venmo,Free Shipping,No,No,No,15,Weekly,No
239,3/4/2025,CUST150,Female,39,North Carolina,Books,1,253,253,Cash,Standard,Yes,Yes,Yes,27,Quarterly,Yes
240,12/19/2023,CUST839,Male,44,California,Clothing,2,962,1924,Credit Card,Standard,No,No,No,3,Bi-Weekly,No
241,6/26/2023,CUST414,Male,43,New York,Electronics,1,208,208,Cash,Next Day Air,Yes,Yes,Yes,39,Quarterly,Yes
242,5/4/2023,CUST403,Male,55,Michigan,Sports,5,399,1995,Credit Card,Standard,No,No,No,30,Bi-Weekly,No
243,11/3/2023,CUST633,Female,41,Georgia,Electronics,4,905,3620,Cash,Next Day Air,Yes,No,No,3,Bi-Weekly,Yes
244,8/14/2023,CUST505,Male,51,Florida,Electronics,4,259,1036,Google Pay,Express,No,No,No,34,Daily,No
245,12/9/2023,CUST124,Male,51,Michigan,Electronics,1,702,702,Credit Card,Free Shipping,Yes,No,No,24,Quarterly,Yes
246,6/9/2023,CUST154,Female,37,Georgia,Beauty,1,876,876,Cash,Standard,Yes,No,No,34,Weekly,No
247,7/10/2024,CUST964,Male,61,North Carolina,Home Decor,4,807,3228,Credit Card,Standard,No,No,No,33,Weekly,Yes
248,3/20/2024,CUST977,Male,37,Ohio,Footwear,4,498,1992,Debit Card,Free Shipping,Yes,Yes,No,50,Monthly,No
249,8/20/2024,CUST420,Male,40,Ohio,Footwear,4,219,876,Credit Card,Standard,Yes,No,No,5,Quarterly,Yes
250,4/18/2024,CUST624,Female,64,Ohio,Electronics,3,734,2202,PayPal,Express,No,No,No,13,Weekly,No
251,2/22/2024,CUST198,Female,44,Georgia,Beauty,2,95,190,Google Pay,Express,No,No,No,7,Bi-Weekly,Yes
252,7/4/2024,CUST619,Female,60,Illinois,Electronics,1,23,23,Credit Card,Express,Yes,No,No,30,Daily,No
253,3/10/2025,CUST389,Male,39,New York,Electronics,2,357,714,Google Pay,Next Day Air,No,Yes,Yes,22,Monthly,Yes
254,8/15/2023,CUST876,Male,18,Georgia,Footwear,4,50,200,Debit Card,Express,Yes,Yes,Yes,41,Weekly,No
255,11/6/2024,CUST422,Female,31,Florida,Beauty,2,883,1766,Debit Card,Next Day Air,No,Yes,Yes,39,Weekly,Yes
256,4/10/2023,CUST811,Female,57,North Carolina,Home Decor,2,368,736,Debit Card,Next Day Air,Yes,No,No,6,Monthly,No
257,2/18/2024,CUST511,Female,34,Georgia,Footwear,4,537,2148,PayPal,Standard,No,No,No,41,Bi-Weekly,Yes
258,11/14/2024,CUST777,Female,35,California,Electronics,3,168,504,Credit Card,Express,Yes,No,No,30,Bi-Weekly,No
259,1/29/2024,CUST757,Male,45,New York,Beauty,4,382,1528,Venmo,Next Day Air,No,Yes,No,5,Daily,Yes
260,3/10/2024,CUST304,Male,28,New York,Clothing,3,408,1224,Debit Card,Free Shipping,Yes,Yes,Yes,0,Daily,No
261,1/22/2024,CUST303,Female,42,Texas,Beauty,2,118,236,Debit Card,Standard,No,Yes,Yes,16,Quarterly,Yes
262,5/25/2023,CUST751,Male,54,Georgia,Home Decor,1,248,248,Google Pay,Express,Yes,No,No,2,Monthly,No
263,1/15/2024,CUST658,Female,43,New York,Footwear,5,447,2235,Apple Pay,Standard,No,No,No,48,Bi-Weekly,Yes
264,10/21/2024,CUST906,Female,30,Michigan,Sports,5,76,380,Cash,Next Day Air,No,Yes,Yes,0,Weekly,No
265,6/10/2023,CUST120,Female,25,New York,Sports,4,78,312,PayPal,Express,No,No,No,27,Quarterly,Yes
266,1/14/2025,CUST161,Female,54,Georgia,Electronics,1,616,616,PayPal,Free Shipping,No,No,No,36,Weekly,No
267,12/7/2024,CUST954,Female,25,Georgia,Clothing,3,242,726,Credit Card,Standard,No,No,No,50,Monthly,Yes
268,12/8/2023,CUST440,Female,41,Ohio,Footwear,3,360,1080,PayPal,Standard,No,Yes,No,16,Bi-Weekly,No
269,4/11/2024,CUST442,Male,58,North Carolina,Books,1,794,794,Cash,Standard,No,Yes,No,50,Bi-Weekly,Yes
270,8/25/2024,CUST192,Male,61,Florida,Clothing,5,996,4980,Cash,Standard,No,Yes,Yes,6,Weekly,No
271,11/3/2023,CUST253,Male,62,Florida,Electronics,5,467,2335,Cash,Free Shipping,No,Yes,Yes,21,Bi-Weekly,Yes
272,2/27/2024,CUST453,Female,20,New York,Home Decor,4,664,2656,Credit Card,Next Day Air,No,Yes,No,25,Quarterly,No
273,7/17/2024,CUST909,Female,39,Texas,Beauty,4,705,2820,Cash,Free Shipping,No,Yes,Yes,15,Monthly,Yes
274,3/2/2025,CUST941,Male,30,Georgia,Beauty,2,878,1756,Apple Pay,Standard,No,No,No,20,Weekly,No
275,10/10/2023,CUST424,Female,24,Texas,Footwear,4,482,1928,Cash,Next Day Air,No,No,No,18,Bi-Weekly,Yes
276,3/20/2024,CUST916,Female,59,Florida,Clothing,4,945,3780,Google Pay,Free Shipping,No,Yes,No,6,Bi-Weekly,No
277,2/5/2024,CUST376,Male,48,North Carolina,Sports,4,712,2848,PayPal,Standard,Yes,No,No,36,Quarterly,Yes
278,10/5/2023,CUST160,Male,49,Ohio,Home Decor,1,489,489,Credit Card,Express,Yes,No,No,20,Monthly,No
279,11/9/2023,CUST692,Male,48,Illinois,Electronics,5,944,4720,Google Pay,Free Shipping,Yes,No,No,27,Daily,Yes
280,9/11/2024,CUST117,Female,34,New York,Beauty,1,118,118,Apple Pay,Next Day Air,Yes,No,No,36,Quarterly,No
281,11/13/2023,CUST224,Male,37,Illinois,Footwear,5,634,3170,Debit Card,Express,No,No,No,42,Bi-Weekly,Yes
282,2/17/2025,CUST871,Female,65,Georgia,Electronics,2,443,886,Cash,Free Shipping,No,Yes,Yes,18,Monthly,No
283,9/21/2024,CUST927,Female,25,New York,Beauty,3,741,2223,Debit Card,Express,Yes,No,No,42,Daily,Yes
284,2/27/2024,CUST868,Female,50,Michigan,Sports,3,602,1806,Debit Card,Standard,No,No,No,9,Bi-Weekly,No
285,12/15/2023,CUST920,Male,56,Ohio,Footwear,1,797,797,Cash,Next Day Air,No,Yes,No,32,Bi-Weekly,Yes
286,12/6/2023,CUST807,Female,37,Illinois,Electronics,5,161,805,Debit Card,Free Shipping,Yes,No,No,21,Weekly,No
287,9/19/2024,CUST327,Female,38,North Carolina,Home Decor,2,690,1380,Debit Card,Next Day Air,Yes,Yes,Yes,1,Bi-Weekly,Yes
288,3/3/2025,CUST986,Female,57,Ohio,Home Decor,5,703,3515,PayPal,Next Day Air,Yes,No,No,38,Monthly,No
289,9/9/2024,CUST163,Male,62,Ohio,Books,1,200,200,Apple Pay,Standard,Yes,No,No,23,Monthly,Yes
290,5/13/2023,CUST996,Female,57,Texas,Electronics,1,554,554,Venmo,Standard,Yes,No,No,22,Quarterly,No
291,9/19/2024,CUST955,Female,45,Texas,Footwear,5,897,4485,Cash,Free Shipping,No,Yes,Yes,30,Quarterly,Yes
292,9/22/2023,CUST271,Male,53,Florida,Footwear,2,861,1722,Google Pay,Standard,No,No,No,2,Weekly,No
293,7/26/2023,CUST170,Female,29,Illinois,Home Decor,1,545,545,Apple Pay,Free Shipping,Yes,No,No,35,Bi-Weekly,Yes
294,9/4/2023,CUST364,Male,21,Illinois,Clothing,2,985,1970,Debit Card,Next Day Air,No,Yes,Yes,2,Monthly,No
295,4/9/2023,CUST832,Female,28,California,Footwear,1,750,750,Venmo,Free Shipping,No,Yes,Yes,5,Bi-Weekly,Yes
296,2/28/2024,CUST880,Female,46,Michigan,Sports,2,184,368,PayPal,Standard,No,Yes,No,11,Bi-Weekly,No
297,11/21/2023,CUST389,Male,18,Michigan,Clothing,3,895,2685,Cash,Next Day Air,No,No,No,45,Quarterly,Yes
298,9/19/2023,CUST769,Male,34,Ohio,Home Decor,2,882,1764,Venmo,Express,No,No,No,2,Weekly,No
299,10/10/2024,CUST111,Male,22,Georgia,Clothing,2,451,902,Credit Card,Standard,No,No,No,13,Bi-Weekly,Yes
300,6/28/2024,CUST183,Male,55,North Carolina,Electronics,3,747,2241,Google Pay,Express,Yes,No,No,21,Weekly,No
301,10/27/2024,CUST912,Male,24,North Carolina,Clothing,4,167,668,PayPal,Standard,Yes,Yes,No,45,Weekly,Yes
302,6/8/2024,CUST241,Male,38,Georgia,Sports,1,393,393,Cash,Standard,No,No,No,9,Quarterly,No
303,10/22/2023,CUST102,Female,28,North Carolina,Clothing,1,151,151,Apple Pay,Standard,Yes,Yes,No,20,Daily,Yes
304,8/3/2023,CUST749,Male,37,California,Books,1,978,978,Credit Card,Free Shipping,No,No,No,43,Bi-Weekly,No
305,3/14/2024,CUST551,Female,54,Georgia,Footwear,3,40,120,PayPal,Next Day Air,No,Yes,Yes,25,Weekly,Yes
306,11/10/2023,CUST782,Male,24,Texas,Clothing,5,988,4940,Cash,Free Shipping,No,Yes,No,9,Bi-Weekly,No
307,5/26/2023,CUST398,Female,64,Texas,Footwear,5,330,1650,Credit Card,Standard,No,No,No,12,Monthly,Yes
308,9/4/2023,CUST627,Male,25,New York,Clothing,3,968,2904,Cash,Next Day Air,No,Yes,Yes,34,Weekly,No
309,3/13/2025,CUST562,Female,30,Ohio,Beauty,1,161,161,PayPal,Next Day Air,Yes,No,No,11,Monthly,Yes
310,4/27/2024,CUST109,Male,34,Georgia,Clothing,3,74,222,Apple Pay,Free Shipping,Yes,No,No,15,Quarterly,No
311,12/7/2024,CUST196,Male,44,Ohio,Beauty,1,40,40,Google Pay,Next Day Air,Yes,Yes,No,18,Bi-Weekly,Yes
312,2/13/2024,CUST142,Male,55,New York,Books,2,499,998,PayPal,Standard,No,No,No,11,Bi-Weekly,No
313,3/8/2024,CUST465,Female,59,Florida,Footwear,1,892,892,Debit Card,Free Shipping,Yes,Yes,Yes,21,Daily,Yes
314,5/28/2023,CUST237,Female,49,Georgia,Clothing,3,541,1623,Cash,Next Day Air,No,No,No,16,Weekly,No
315,11/6/2024,CUST610,Male,30,Florida,Home Decor,4,696,2784,Google Pay,Standard,Yes,Yes,No,48,Monthly,Yes
316,12/11/2023,CUST672,Female,36,Texas,Clothing,1,48,48,Apple Pay,Express,Yes,Yes,No,40,Monthly,No
317,5/14/2023,CUST181,Male,65,Florida,Sports,4,214,856,Apple Pay,Express,No,No,No,31,Weekly,Yes
318,3/20/2025,CUST921,Male,50,Texas,Home Decor,3,636,1908,Debit Card,Standard,No,No,No,1,Daily,No
319,10/24/2024,CUST562,Female,35,Texas,Sports,5,387,1935,Debit Card,Next Day Air,Yes,No,No,39,Bi-Weekly,Yes
320,9/4/2023,CUST329,Female,18,Ohio,Clothing,4,616,2464,Debit Card,Free Shipping,No,Yes,Yes,37,Daily,No
321,5/3/2023,CUST332,Male,37,California,Sports,5,671,3355,Google Pay,Next Day Air,Yes,Yes,Yes,9,Quarterly,Yes
322,3/7/2025,CUST778,Female,51,New York,Footwear,2,716,1432,Cash,Free Shipping,No,No,No,39,Daily,No
323,11/27/2023,CUST130,Female,48,Ohio,Clothing,2,250,500,PayPal,Free Shipping,Yes,No,No,10,Bi-Weekly,Yes
324,6/2/2023,CUST449,Male,55,Georgia,Beauty,3,265,795,PayPal,Free Shipping,No,Yes,Yes,33,Quarterly,No
325,4/16/2023,CUST374,Female,42,New York,Clothing,5,807,4035,PayPal,Express,Yes,No,No,7,Monthly,Yes
326,4/8/2024,CUST501,Male,45,Ohio,Clothing,3,648,1944,Venmo,Free Shipping,No,No,No,47,Quarterly,No
327,9/18/2023,CUST396,Female,51,New York,Sports,5,466,2330,Venmo,Next Day Air,Yes,Yes,No,31,Daily,Yes
328,1/27/2024,CUST537,Female,49,Florida,Clothing,2,816,1632,Venmo,Free Shipping,No,Yes,Yes,38,Quarterly,No
329,10/17/2024,CUST107,Male,38,Georgia,Clothing,3,211,633,Debit Card,Next Day Air,Yes,Yes,No,38,Bi-Weekly,Yes
330,7/14/2023,CUST276,Male,47,Michigan,Sports,2,848,1696,Apple Pay,Free Shipping,Yes,Yes,No,2,Bi-Weekly,No
331,8/11/2023,CUST265,Female,37,California,Clothing,5,720,3600,Credit Card,Free Shipping,Yes,Yes,Yes,11,Bi-Weekly,Yes
332,9/16/2024,CUST437,Female,47,Michigan,Beauty,4,44,176,Venmo,Express,Yes,Yes,No,41,Daily,No
333,8/20/2023,CUST155,Female,22,California,Sports,3,723,2169,Apple Pay,Standard,No,No,No,31,Weekly,Yes
334,5/18/2024,CUST297,Female,34,New York,Electronics,2,67,134,Apple Pay,Standard,No,No,No,45,Bi-Weekly,No
335,11/4/2024,CUST706,Female,51,Michigan,Books,4,954,3816,Apple Pay,Free Shipping,Yes,No,No,22,Weekly,Yes
336,5/21/2023,CUST107,Female,52,Michigan,Electronics,2,241,482,Venmo,Free Shipping,No,Yes,No,50,Monthly,No
337,10/8/2024,CUST263,Female,59,Michigan,Books,4,45,180,PayPal,Next Day Air,Yes,No,No,12,Quarterly,Yes
338,8/9/2023,CUST700,Male,40,Illinois,Electronics,3,663,1989,Credit Card,Free Shipping,No,Yes,Yes,22,Monthly,No
339,11/18/2024,CUST135,Male,57,North Carolina,Books,4,422,1688,Credit Card,Free Shipping,No,No,No,12,Monthly,Yes
340,6/17/2023,CUST629,Female,59,New York,Clothing,2,362,724,Google Pay,Standard,No,No,No,37,Monthly,No
341,11/19/2023,CUST560,Female,62,Georgia,Clothing,1,717,717,Debit Card,Standard,Yes,No,No,43,Weekly,Yes
342,3/10/2025,CUST342,Male,25,Florida,Books,5,508,2540,Google Pay,Standard,Yes,No,No,47,Quarterly,No
343,12/23/2023,CUST922,Female,28,Illinois,Sports,5,805,4025,Cash,Express,Yes,Yes,No,30,Bi-Weekly,Yes
344,8/19/2024,CUST554,Male,42,Florida,Beauty,5,164,820,Google Pay,Next Day Air,Yes,Yes,No,32,Monthly,No
345,6/27/2024,CUST529,Female,37,Michigan,Electronics,3,540,1620,Apple Pay,Standard,Yes,No,No,37,Daily,Yes
346,2/4/2025,CUST117,Male,24,North Carolina,Electronics,5,137,685,Apple Pay,Free Shipping,Yes,Yes,No,45,Quarterly,No
347,3/20/2024,CUST429,Female,59,New York,Home Decor,2,886,1772,Apple Pay,Next Day Air,No,Yes,No,16,Quarterly,Yes
348,10/31/2023,CUST496,Female,59,Michigan,Footwear,1,761,761,Venmo,Next Day Air,No,Yes,Yes,42,Monthly,No
349,10/10/2024,CUST332,Female,46,New York,Books,4,765,3060,Venmo,Express,No,No,No,28,Daily,Yes
350,9/2/2024,CUST631,Male,49,North Carolina,Home Decor,2,596,1192,Cash,Express,Yes,No,No,8,Bi-Weekly,No
351,11/27/2024,CUST873,Male,62,Texas,Books,4,338,1352,Google Pay,Free Shipping,No,Yes,No,45,Monthly,Yes
352,6/27/2023,CUST555,Female,28,Illinois,Footwear,2,288,576,PayPal,Free Shipping,Yes,No,No,35,Monthly,No
353,1/31/2025,CUST708,Male,51,Florida,Sports,3,802,2406,PayPal,Next Day Air,Yes,Yes,Yes,17,Quarterly,Yes
354,6/8/2023,CUST617,Female,26,Ohio,Electronics,5,481,2405,Credit Card,Free Shipping,Yes,No,No,49,Daily,No
355,10/30/2023,CUST983,Female,44,Ohio,Sports,2,864,1728,Apple Pay,Free Shipping,Yes,No,No,35,Weekly,Yes
356,11/17/2024,CUST235,Female,47,Florida,Books,4,217,868,Venmo,Next Day Air,No,No,No,32,Daily,No
357,10/23/2023,CUST541,Male,32,Michigan,Beauty,4,90,360,Cash,Express,No,No,No,43,Monthly,Yes
358,10/14/2023,CUST928,Male,53,Florida,Electronics,2,388,776,Credit Card,Express,No,Yes,No,22,Bi-Weekly,No
359,4/21/2024,CUST409,Female,28,Florida,Electronics,1,832,832,Google Pay,Standard,Yes,No,No,25,Quarterly,Yes
360,1/22/2025,CUST532,Male,24,North Carolina,Electronics,3,461,1383,Debit Card,Free Shipping,No,No,No,3,Quarterly,No
361,8/22/2024,CUST781,Female,18,New York,Sports,5,685,3425,Apple Pay,Free Shipping,Yes,Yes,No,47,Bi-Weekly,Yes
362,10/6/2023,CUST671,Female,41,Illinois,Electronics,4,256,1024,Credit Card,Free Shipping,Yes,No,No,34,Daily,No
363,4/7/2023,CUST946,Male,19,Florida,Electronics,5,841,4205,Venmo,Standard,No,No,No,22,Daily,Yes
364,6/25/2024,CUST993,Female,36,Michigan,Beauty,1,898,898,Venmo,Standard,Yes,Yes,Yes,36,Monthly,No
365,7/13/2023,CUST276,Male,51,North Carolina,Books,4,180,720,PayPal,Next Day Air,Yes,No,No,15,Daily,Yes
366,5/13/2024,CUST314,Female,51,North Carolina,Electronics,2,155,310,Credit Card,Free Shipping,No,Yes,Yes,30,Quarterly,No
367,2/15/2024,CUST360,Female,38,New York,Footwear,2,395,790,Debit Card,Next Day Air,Yes,Yes,Yes,21,Bi-Weekly,Yes
368,2/23/2025,CUST405,Female,58,North Carolina,Clothing,1,667,667,Cash,Free Shipping,No,No,No,13,Weekly,No
369,6/23/2024,CUST220,Female,55,California,Electronics,2,896,1792,Credit Card,Next Day Air,No,Yes,Yes,21,Daily,Yes
370,5/9/2024,CUST796,Female,30,Texas,Electronics,2,99,198,PayPal,Express,No,Yes,Yes,40,Bi-Weekly,No
371,3/20/2024,CUST152,Male,57,Florida,Electronics,4,311,1244,Credit Card,Free Shipping,No,No,No,30,Bi-Weekly,Yes
372,2/22/2025,CUST576,Male,28,Ohio,Beauty,1,176,176,Debit Card,Standard,Yes,Yes,No,48,Monthly,No
373,9/18/2023,CUST263,Female,47,Michigan,Electronics,4,10,40,Credit Card,Free Shipping,No,Yes,Yes,35,Monthly,Yes
374,11/22/2023,CUST406,Female,20,Michigan,Electronics,4,993,3972,Cash,Next Day Air,Yes,Yes,No,31,Daily,No
375,6/23/2024,CUST721,Female,31,Michigan,Books,3,660,1980,Debit Card,Express,No,Yes,Yes,29,Weekly,Yes
376,11/20/2023,CUST833,Male,21,California,Sports,1,188,188,Cash,Free Shipping,No,Yes,No,25,Daily,No
377,12/18/2023,CUST384,Male,49,Florida,Home Decor,1,19,19,Venmo,Standard,No,No,No,34,Quarterly,Yes
378,12/29/2023,CUST953,Male,28,Michigan,Clothing,4,349,1396,Apple Pay,Standard,Yes,Yes,No,39,Daily,No
379,5/14/2024,CUST374,Female,28,California,Electronics,1,893,893,Google Pay,Standard,Yes,No,No,45,Quarterly,Yes
380,9/21/2024,CUST892,Male,21,North Carolina,Home Decor,4,465,1860,Apple Pay,Standard,Yes,No,No,4,Bi-Weekly,No
381,4/27/2023,CUST320,Female,62,New York,Clothing,3,205,615,Credit Card,Standard,No,Yes,No,9,Bi-Weekly,Yes
382,8/20/2023,CUST273,Male,26,Florida,Electronics,1,61,61,Venmo,Next Day Air,Yes,No,No,36,Monthly,No
383,12/11/2023,CUST389,Male,34,New York,Home Decor,5,995,4975,Google Pay,Express,Yes,No,No,18,Daily,Yes
384,1/8/2025,CUST554,Female,56,California,Books,2,525,1050,Credit Card,Free Shipping,No,No,No,31,Quarterly,No
385,10/22/2023,CUST107,Male,34,New York,Home Decor,1,617,617,Debit Card,Standard,No,No,No,14,Bi-Weekly,Yes
386,5/4/2023,CUST988,Female,49,Michigan,Beauty,2,963,1926,PayPal,Standard,Yes,Yes,Yes,48,Weekly,No
387,8/17/2023,CUST790,Male,53,Illinois,Beauty,5,136,680,Apple Pay,Next Day Air,Yes,Yes,Yes,36,Bi-Weekly,Yes
388,9/26/2023,CUST825,Female,39,North Carolina,Sports,4,323,1292,Google Pay,Express,Yes,No,No,36,Quarterly,No
389,7/2/2024,CUST567,Female,21,Michigan,Sports,5,749,3745,Debit Card,Free Shipping,No,Yes,No,27,Daily,Yes
390,10/31/2024,CUST392,Male,26,Michigan,Clothing,4,747,2988,Credit Card,Next Day Air,No,Yes,No,21,Weekly,No
391,1/28/2024,CUST246,Male,64,Illinois,Sports,2,392,784,Debit Card,Free Shipping,No,Yes,No,3,Daily,Yes
392,10/21/2023,CUST701,Female,48,New York,Sports,3,75,225,Apple Pay,Free Shipping,Yes,Yes,No,4,Daily,No
393,12/5/2023,CUST427,Female,40,Florida,Beauty,2,860,1720,Venmo,Express,No,Yes,Yes,17,Daily,Yes
394,10/4/2023,CUST541,Male,61,Michigan,Electronics,5,833,4165,Cash,Express,Yes,No,No,21,Monthly,No
395,9/7/2023,CUST828,Female,18,New York,Home Decor,3,726,2178,PayPal,Next Day Air,Yes,No,No,20,Daily,Yes
396,8/25/2024,CUST724,Female,54,Georgia,Home Decor,1,513,513,Google Pay,Next Day Air,Yes,Yes,Yes,38,Monthly,No
397,8/29/2023,CUST258,Female,25,Texas,Clothing,5,376,1880,Debit Card,Standard,No,No,No,0,Bi-Weekly,Yes
398,11/19/2023,CUST707,Male,23,New York,Beauty,2,478,956,Apple Pay,Free Shipping,Yes,No,No,20,Weekly,No
399,5/24/2023,CUST900,Female,49,California,Beauty,3,871,2613,Credit Card,Express,Yes,Yes,Yes,40,Quarterly,Yes
400,11/20/2024,CUST284,Male,64,Georgia,Beauty,2,461,922,Credit Card,Next Day Air,Yes,Yes,No,26,Quarterly,No
401,1/7/2024,CUST307,Female,33,North Carolina,Footwear,5,784,3920,Credit Card,Next Day Air,Yes,Yes,No,49,Daily,Yes
402,3/29/2024,CUST456,Male,42,Michigan,Footwear,1,191,191,Apple Pay,Next Day Air,Yes,Yes,No,1,Monthly,No
403,1/10/2024,CUST676,Male,20,Illinois,Home Decor,1,458,458,Apple Pay,Express,No,Yes,No,14,Monthly,Yes
404,2/10/2025,CUST674,Female,51,North Carolina,Home Decor,1,708,708,Cash,Standard,No,No,No,12,Quarterly,No
405,8/13/2023,CUST173,Female,23,Michigan,Footwear,4,169,676,PayPal,Next Day Air,Yes,Yes,Yes,40,Daily,Yes
406,5/30/2023,CUST655,Female,54,Texas,Home Decor,3,541,1623,Apple Pay,Standard,Yes,Yes,Yes,43,Quarterly,No
407,10/9/2023,CUST149,Female,56,Florida,Electronics,4,188,752,Credit Card,Next Day Air,No,No,No,18,Monthly,Yes
408,4/9/2024,CUST224,Female,49,Texas,Home Decor,2,191,382,Venmo,Standard,No,No,No,24,Daily,No
409,6/21/2023,CUST263,Female,61,Texas,Beauty,1,15,15,Venmo,Free Shipping,No,Yes,No,27,Quarterly,Yes
410,2/11/2025,CUST339,Female,49,Florida,Sports,2,855,1710,Google Pay,Express,No,No,No,50,Weekly,No
411,12/23/2024,CUST439,Female,43,Florida,Sports,5,779,3895,Google Pay,Next Day Air,Yes,No,No,40,Daily,Yes
412,8/15/2024,CUST622,Male,28,North Carolina,Beauty,4,286,1144,Apple Pay,Standard,No,No,No,20,Monthly,No
413,12/29/2024,CUST168,Male,59,Texas,Home Decor,1,385,385,Apple Pay,Free Shipping,No,Yes,Yes,42,Monthly,Yes
414,6/21/2023,CUST898,Female,24,California,Home Decor,1,842,842,Venmo,Standard,Yes,Yes,Yes,17,Monthly,No
415,9/12/2024,CUST161,Male,38,Illinois,Beauty,1,258,258,Cash,Standard,Yes,No,No,37,Quarterly,Yes
416,2/4/2024,CUST452,Female,20,Ohio,Electronics,2,362,724,Venmo,Free Shipping,Yes,No,No,39,Weekly,No
417,1/21/2025,CUST179,Female,55,Florida,Beauty,5,583,2915,Debit Card,Standard,No,No,No,42,Quarterly,Yes
418,3/8/2024,CUST793,Female,44,Georgia,Electronics,2,312,624,Cash,Standard,Yes,Yes,No,49,Bi-Weekly,No
419,10/1/2023,CUST559,Female,33,Ohio,Sports,4,357,1428,Cash,Express,No,No,No,50,Quarterly,Yes
420,11/26/2024,CUST511,Female,40,Illinois,Sports,2,717,1434,Credit Card,Express,Yes,No,No,40,Daily,No
421,10/21/2023,CUST755,Male,53,California,Sports,4,959,3836,Apple Pay,Free Shipping,No,No,No,8,Weekly,Yes
422,3/19/2025,CUST684,Male,39,California,Footwear,3,877,2631,Debit Card,Free Shipping,No,No,No,43,Weekly,No
423,5/23/2023,CUST133,Male,45,New York,Footwear,4,546,2184,Debit Card,Next Day Air,Yes,No,No,47,Daily,Yes
424,10/24/2024,CUST777,Male,20,North Carolina,Electronics,5,224,1120,Apple Pay,Next Day Air,Yes,No,No,12,Bi-Weekly,No
425,3/21/2024,CUST865,Female,35,Florida,Home Decor,5,821,4105,Apple Pay,Standard,Yes,No,No,14,Weekly,Yes
426,6/27/2023,CUST637,Male,65,Michigan,Electronics,3,174,522,PayPal,Standard,Yes,No,No,15,Bi-Weekly,No
427,10/18/2023,CUST595,Male,46,North Carolina,Home Decor,4,717,2868,Cash,Standard,No,Yes,Yes,1,Bi-Weekly,Yes
